Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Gender,Age,Education,Discipline,Student,Ethnicity,Country,Condition,Video1_Duration,Video2_Duration,Video_Order,BHS_Duration,BHS_1,BHS_2,BHS_3,BHS_4,BHS_5,BHS_6,BHS_7,AttentionCheck_3,BHS_8,BHS_9,BHS_10,BHS_11,BHS_12,BHS_13,BHS_14,BHS_15,BHS_16,BHS_17,BHS_18,BHS_19,BHS_20,RRS_Duration,RRS_1,RRS_2,RRS_3,RRS_4,RRS_5,RRS_6,RRS_7,RRS_8,RRS_9,RRS_10,RRS_11,RRS_12,RRS_13,RRS_14,RRS_15,AttentionCheck_1,RRS_16,RRS_17,RRS_18,RRS_19,RRS_20,RRS_21,RRS_22,IAS_Duration,IAS_1,IAS_20,IAS_11,IAS_2,IAS_13,IAS_21,IAS_17,IAS_9,IAS_8,IAS_7,IAS_6,IAS_10,IAS_15,IAS_18,IAS_12,IAS_16,IAS_5,IAS_19,IAS_14,IAS_4,IAS_3,AttentionCheck_2,RRS2_Duration,RRSS_1,RRSS_2,RRSS_3,RRSS_4,RRSS_5,RRSS_6,RRSS_7,RRSS_8,RRSS_9,RRSS_10,Awe_Duration,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_16,AWE_17,AWE_18,AWE_19,AttentionCheck_4,AWE_20,AWE_21,AWE_22,AWE_23,AWE_24,AWE_25,AWE_26,AWE_27,AWE_28,AWE_29,AWE_30,STS_Duration,STS_1,STS_2,STS_3,AttentionCheck_5,STS_4,STS_5,STS_6,STS_7,STS_8,STS_9,STS_10,STS_11,STS_12,STS_13,STS_14,STS_15,Discipline-Comment
7k5ua7mvws,37.870266666666666,2024-07-03 16:08:42.478342+00:00,03/07/2024,16:30:46,chrome,False,Windows 10,1600.0,765.0,Female,41,Bachelor,"Business, Economics",False,South Asian,UK,Entertainment,5.224366666666667,5.357966666666667,pys47zaxZ90 - CizwH_T7pjg,2.4419666666666666,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.1874833333333332,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.9913233333331837,0.78,0.79,0.78,0.77,0.75,0.75,0.81,0.78,0.77,0.74,0.75,0.75,0.78,0.5,0.75,0,0.87,0.79,0.69,0.79,0.75,0.25,0.9081666666666667,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.01675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1816666666666666,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,
pfza7ouvyn,69.20963333333334,2024-07-03 15:42:57.892967+00:00,03/07/2024,15:34:32,chrome,False,Windows 10,1920.0,945.0,Male,23,Bachelor,other,True,South Asian,UK,Entertainment,24.928083333333333,34.773133333333334,pys47zaxZ90 - CizwH_T7pjg,1.01505,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.1968333333333334,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.6035383333332835,1,1,1,1,1,1,1,0.98,0.35,1,1,0.73,1,0.21,1,0.24,1,1,0.99,1,0.99,1,0.4639833333333333,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.8465166666666666,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5321,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,Criminology
3vctezudzo,37.946616666666664,2024-07-03 15:28:06.825087+00:00,03/07/2024,15:49:54,firefox,False,Windows 10,1920.0,955.0,Female,32,High school,,False,Mixed,England,Entertainment,8.6274,5.29725,pys47zaxZ90 - CizwH_T7pjg,3.1622333333333335,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3.4123,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.824183333333334,0.8,0.24,0.98,0.68,0.62,0.2,0.78,0.81,0.71,0.78,0.66,0.56,0.44,0.02,0.88,0.35,0.82,0.81,0.68,0.58,0.59,0.08,1.0779500000000002,4.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,6.2999833333333335,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,4.0,2.0,6.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,2.1971833333333333,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,
k1hhocwf5x,29.866,2024-07-03 15:17:28.216948+00:00,03/07/2024,15:47:28,edge-chromium,False,Windows 10,1358.0,646.0,Female,42,Bachelor,other,False,Black,Britain,Entertainment,5.3062000000000005,6.065033333333333,pys47zaxZ90 - CizwH_T7pjg,3.2376333333333336,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2.8577833333333333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.7090799999992052,0.96,0.5,0.97,0.96,0.97,0.97,0.96,0.96,0.99,0.95,0.94,0.96,0.95,0.37,0.97,0.16,1,0.95,0.97,0.96,0.96,0.96,1.1939333333333333,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,5.091466666666666,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,1.0,1.0,5.0,5.0,2.9894166666666666,3.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,nursing
u96lnq3axb,23.359883333333336,2024-07-03 15:14:31.709209+00:00,03/07/2024,15:51:04,chrome,False,Windows 10,1280.0,585.0,Female,32,Bachelor,"Biology, Chemistry, Physics",False,Black,united kingdom,Entertainment,4.463116666666666,4.608733333333333,CizwH_T7pjg - pys47zaxZ90,2.3631499999999996,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.5628666666666664,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.685481666668256,0.69,0.7,1,1,1,0.93,1,1,0.94,0.58,1,0.88,1,0.41,1,0.43,1,1,0.94,1,0.85,0.5,1.1509666666666667,2.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,3.1417333333333333,5.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,7.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,2.0335666666666667,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,
qpzq6tdbx4,39.84238333333334,2024-07-03 15:13:30.476162+00:00,03/07/2024,15:33:30,chrome,False,Windows 10,1536.0,730.0,Male,23,Bachelor,"Biology, Chemistry, Physics",True,Black,England,Entertainment,6.1591,10.9409,pys47zaxZ90 - CizwH_T7pjg,1.9007666666666667,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,3.0132166666666667,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.341968333333234,0.14,0.12,0.11,0.17,0.86,0.84,0.98,0.15,0.28,0.75,0.94,0.08,0.82,0.04,1,0.14,0.94,0.07,0.3,0.3,0.21,0,1.1063666666666667,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.623283333333333,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,10.779683333333333,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,
kg9x6o8s0n,37.48111666666667,2024-07-03 15:07:43.097646+00:00,03/07/2024,15:30:01,crios,True,iOS,1038.0,1781.0,Male,32,Bachelor,"Engineering, Computer Science",True,Black,,Entertainment,9.386,6.059033333333333,pys47zaxZ90 - CizwH_T7pjg,2.217633333333333,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.3453999999999997,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.9598,1,0.24,1,1,1,0.5,1,0.77,0.5,1,1,1,1,0,1,0,1,1,1,1,1,0.73,1.7350833333333333,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.92165,5.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,7.0,6.0,4.0,3.0,4.0,1.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,6.0,1.9954500000000002,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,
7dj2umr39l,25.64851666666667,2024-07-03 15:03:35.404485+00:00,03/07/2024,15:38:07,chrome,False,Windows 10,1366.0,641.0,Female,51,High school,,False,White,ENGLAND,Entertainment,6.0994,5.369383333333333,pys47zaxZ90 - CizwH_T7pjg,1.9887333333333332,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.4581833333333334,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7324483333349225,1,1,1,1,0.96,1,1,0.96,0.96,1,0.94,0.9,1,0.94,1,0.13,1,1,0.96,1,0.97,1,1.0671333333333335,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.991233333333333,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.93705,4.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,
ovwsalhcm5,28.009666666666664,2024-07-03 15:02:59.887463+00:00,03/07/2024,15:34:55,chrome,False,Windows 10,1920.0,911.0,Female,56,Bachelor,"Mathematics, Physics",False,White,United Kingdom,Entertainment,6.7894,11.2556,pys47zaxZ90 - CizwH_T7pjg,1.4088500000000002,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.6787333333333334,2.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.916203333334128,0.35,0.9,0.63,0.18,0.58,0.6,0.83,0.41,0.69,0.62,0.7,0.54,0.85,0,0.35,0.81,0.59,0.89,0.41,0.91,0.7,0.04,0.6911,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.12045,3.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.62155,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,
6b3hv922bg,27.78905,2024-07-03 15:02:34.242873+00:00,03/07/2024,15:34:43,chrome,False,Mac OS,1440.0,734.0,Female,43,Master,"Engineering, Computer Science",True,Middle Eastern/North African,United Kingdom,Entertainment,5.198216666666666,5.298766666666666,pys47zaxZ90 - CizwH_T7pjg,3.63205,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.4757333333333333,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.8261549999999502,1,0.78,0.81,0.68,0.84,0.39,0.94,0.52,1,0.68,0.97,0.86,0.49,0.92,0.93,0.35,0.96,1,1,0.78,0.88,0,1.4185166666666666,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.1370999999999998,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8582666666666665,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,
